,EODDATAID,ADATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
0,435571593,2019-04-02,BANKNIFTY,30450.1,30452.9,30155.85,30354.25,,,196482019,5205.38,2019-04-02,
1,435581593,2019-04-03,BANKNIFTY,30440.85,30602.55,30036.25,30093.3,,,193071867,5203.95,2019-04-03,
2,435591593,2019-04-04,BANKNIFTY,30147.3,30245.7,29809.9,29904.9,,,199631082,5460.27,2019-04-04,
3,435601593,2019-04-05,BANKNIFTY,30002.85,30174.0,29850.0,30084.65,,,154141037,4130.84,2019-04-05,
4,435631593,2019-04-08,BANKNIFTY,30201.5,30232.05,29716.6,29845.3,,,147201421,3687.89,2019-04-08,
5,435641593,2019-04-09,BANKNIFTY,29901.5,30165.05,29703.55,30113.85,,,165462138,4788.34,2019-04-09,
6,435651593,2019-04-10,BANKNIFTY,29916.6,30155.75,29768.1,29803.5,,,165250173,9946.96,2019-04-10,
7,435661593,2019-04-11,BANKNIFTY,29841.85,29852.25,29640.25,29786.1,,,108247929,3168.46,2019-04-11,
8,435671593,2019-04-12,BANKNIFTY,29780.55,30000.95,29707.0,29938.55,,,104858970,3137.74,2019-04-12,
9,435701593,2019-04-15,BANKNIFTY,29983.5,30163.1,29919.1,30104.25,,,90613632,3071.18,2019-04-15,
10,435711593,2019-04-16,BANKNIFTY,30236.25,30590.95,30228.2,30531.35,,,117822281,4223.74,2019-04-16,
11,435731593,2019-04-18,BANKNIFTY,30656.5,30669.8,30142.2,30223.4,,,141697748,4610.68,2019-04-18,
12,435771593,2019-04-22,BANKNIFTY,30282.5,30289.9,29647.55,29687.95,,,132778018,4647.04,2019-04-22,
13,435781593,2019-04-23,BANKNIFTY,29761.95,29906.5,29455.45,29479.7,,,145857126,4502.93,2019-04-23,
14,435791593,2019-04-24,BANKNIFTY,29550.5,29914.85,29435.05,29860.8,,,129529258,4477.27,2019-04-24,
15,435801593,2019-04-25,BANKNIFTY,29927.05,30057.7,29511.95,29561.35,,,201016367,6526.09,2019-04-25,
16,435811593,2019-04-26,BANKNIFTY,29764.85,30048.2,29563.15,30013.5,,,158188658,5736.29,2019-04-26,
17,435851593,2019-04-30,BANKNIFTY,29920.4,29920.4,29550.05,29764.8,,,362563145,9257.75,2019-04-30,
18,435871593,2019-05-02,BANKNIFTY,29699.8,29919.35,29638.8,29708.6,,,242309997,6830.49,2019-05-02,
19,435881593,2019-05-03,BANKNIFTY,29811.65,30121.75,29795.1,29954.15,,,181379119,5248.1,2019-05-03,
20,435911593,2019-05-06,BANKNIFTY,29626.5,29757.4,29528.6,29618.45,,,188230212,4787.11,2019-05-06,
21,435921593,2019-05-07,BANKNIFTY,29749.55,29835.5,29244.25,29288.2,,,180581999,5340.05,2019-05-07,
22,435931593,2019-05-08,BANKNIFTY,29261.3,29261.3,28951.35,28994.4,,,179421775,4926.02,2019-05-08,
23,435941593,2019-05-09,BANKNIFTY,28893.95,29040.3,28784.65,28884.6,,,206029474,5196.87,2019-05-09,
24,435951593,2019-05-10,BANKNIFTY,28927.6,29202.85,28900.1,29040.5,,,223514610,6070.63,2019-05-10,
25,435981593,2019-05-13,BANKNIFTY,29026.65,29049.05,28621.1,28659.95,,,253600119,5356.35,2019-05-13,
26,435991593,2019-05-14,BANKNIFTY,28718.75,29058.3,28582.6,28829.2,,,256593306,6110.47,2019-05-14,
27,436001593,2019-05-15,BANKNIFTY,28925.45,28983.15,28555.15,28616.45,,,218778407,5126.91,2019-05-15,
28,436011593,2019-05-16,BANKNIFTY,28625.9,28947.6,28525.45,28855.3,,,189440058,4501.11,2019-05-16,
29,436021593,2019-05-17,BANKNIFTY,28881.4,29559.45,28856.0,29450.15,,,257111157,6489.1,2019-05-17,
30,436051593,2019-05-20,BANKNIFTY,30230.4,30827.85,30111.2,30759.7,,,321102950,9217.22,2019-05-20,
31,436061593,2019-05-21,BANKNIFTY,30862.1,30926.7,30265.1,30308.4,,,216423886,5968.41,2019-05-21,
32,436071593,2019-05-22,BANKNIFTY,30410.65,30675.1,30268.6,30526.8,,,224425509,7602.5,2019-05-22,
33,436081593,2019-05-23,BANKNIFTY,30962.8,31705.0,30292.35,30409.1,,,494083740,14547.69,2019-05-23,
34,436091593,2019-05-24,BANKNIFTY,30685.5,31275.4,30564.4,31212.55,,,282765890,7946.04,2019-05-24,
35,436121593,2019-05-27,BANKNIFTY,31234.9,31700.75,31142.5,31647.65,,,239161158,6533.11,2019-05-27,
36,436131593,2019-05-28,BANKNIFTY,31711.3,31712.4,31328.6,31597.9,,,297603975,6998.27,2019-05-28,
37,436141593,2019-05-29,BANKNIFTY,31459.25,31546.75,31257.9,31295.55,,,205161779,5053.9,2019-05-29,
38,436151593,2019-05-30,BANKNIFTY,31256.85,31619.25,31236.1,31537.1,,,202699071,5776.18,2019-05-30,
39,436161593,2019-05-31,BANKNIFTY,31678.9,31783.6,30623.05,31375.4,,,230847583,7113.52,2019-05-31,
40,436191593,2019-06-03,BANKNIFTY,31406.05,31674.6,31284.7,31653.65,,,160090476,4443.9,2019-06-03,
41,436201593,2019-06-04,BANKNIFTY,31532.9,31752.7,31512.95,31589.05,,,172424592,4627.37,2019-06-04,
42,436221593,2019-06-06,BANKNIFTY,31523.95,31541.5,30800.8,30857.4,,,283140588,7895.98,2019-06-06,
43,436231593,2019-06-07,BANKNIFTY,31523.95,31541.5,30800.8,30857.4,,,283140588,7895.98,2019-06-07,
44,436261593,2019-06-10,BANKNIFTY,31259.2,31367.4,30861.3,31034.0,,,208614002,4870.64,2019-06-10,
45,436271593,2019-06-11,BANKNIFTY,31172.25,31399.35,30973.35,31265.45,,,188115329,4371.7,2019-06-11,
46,436281593,2019-06-12,BANKNIFTY,31219.3,31222.3,30911.45,30965.7,,,143703508,3787.08,2019-06-12,
47,436291593,2019-06-13,BANKNIFTY,30876.75,31036.9,30638.25,30976.1,,,341891022,7587.55,2019-06-13,
48,436301593,2019-06-14,BANKNIFTY,30983.45,31032.65,30508.95,30614.35,,,255356460,6366.06,2019-06-14,
49,436331593,2019-06-17,BANKNIFTY,30652.0,30684.05,30249.4,30273.25,,,184466679,5401.37,2019-06-17,
50,436341593,2019-06-18,BANKNIFTY,30299.45,30550.65,30222.85,30351.0,,,241865592,6147.16,2019-06-18,
51,436351593,2019-06-19,BANKNIFTY,30526.5,30699.15,30242.0,30362.1,,,252889076,5825.47,2019-06-19,
52,436361593,2019-06-20,BANKNIFTY,30390.2,30824.55,30220.7,30781.1,,,293131675,6983.33,2019-06-20,
53,436371593,2019-06-21,BANKNIFTY,30804.95,30804.95,30541.5,30628.35,,,238841807,6101.47,2019-06-21,
54,436401593,2019-06-24,BANKNIFTY,30680.95,30783.65,30528.0,30602.05,,,165301524,4081.42,2019-06-24,
55,436411593,2019-06-25,BANKNIFTY,30567.65,30913.25,30451.4,30847.05,,,145143905,4155.46,2019-06-25,
56,436421593,2019-06-26,BANKNIFTY,30809.2,31202.7,30766.65,31162.35,,,171974194,4513.07,2019-06-26,
57,436431593,2019-06-27,BANKNIFTY,31192.1,31490.6,31158.8,31269.5,,,231102423,7463.55,2019-06-27,
58,436441593,2019-06-28,BANKNIFTY,31281.0,31308.9,31060.6,31105.2,,,223608802,5576.56,2019-06-28,
